shareholder,value,percent,share_type,share_code
兴业证券股份有限公司,20520063,0.981,流通A股,000429
PERSHINGLLC,18744850,0.897,流通B股,000429
新粤有限公司,13201086,0.631,流通B股,000429
GUOTAIJUNANSECURITIES(HONGKONG)LIMITED,8853611,0.423,流通B股,000429
张家界市经济发展投资集团有限公司,39574245,9.776,流通A股,000430
张家界市土地房产开发有限责任公司,7772400,1.920,流通A股,000430
中国建银投资有限责任公司,6120000,1.512,流通A股,000430
陕西文化产业投资管理有限公司,2153987,0.532,流通A股,000430
佛山市洋昇投资有限公司,2080700,0.514,流通A股,000430
中信证券股份有限公司,1954694,0.483,流通A股,000430
寿光晨鸣控股有限公司,293003657,15.131,流通A股,000488
HKSCCNOMINEESLIMITED,248769250,12.847,境外可流通股,000488
晨鸣控股(香港)有限公司,227556921,11.752,"流通B股,境外可流通股",000488
中央汇金资产管理有限责任公司,40137900,2.073,流通A股,000488
香港中央结算有限公司,6899610,0.356,流通A股,000488
武汉商联(集团)股份有限公司,165703232,21.537,流通A股,000501
浙江银泰百货有限公司,79896933,10.385,流通A股,000501
达孜银泰商业发展有限公司,42752278,5.557,流通A股,000501
武汉国有资产经营有限公司,29888346,3.885,流通A股,000501
中央汇金资产管理有限责任公司,15634190,2.032,流通A股,000501
武汉金融控股(集团)有限公司,13198363,1.715,流通A股,000501
武汉汉通投资有限公司,12103274,1.573,流通A股,000501
TEMASEKFULLERTONALPHAPTELTD,8346335,1.085,流通A股,000501
武汉开发投资有限公司,7806804,1.015,流通A股,000501
